,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion
0,https://www.acnc.gov.au/charity/charities/e238eee6-39af-e811-a961-000d3ad24182/profile,Association of Independent Schools of Western Australia Inc,Osborne Park,WA,Registered,Large,76185019966,,,,,,
1,https://www.acnc.gov.au/charity/charities/f24a3ba7-3aaf-e811-a962-000d3ad24a0d/profile,Australian Wool Innovation Limited,The Rocks,NSW,Registered,Large,12095165558,,,,,,
2,https://www.acnc.gov.au/charity/charities/d423f6e0-39af-e811-a961-000d3ad24182/profile,SMILING MIND,Collingwood,VIC,Registered,Large,26161428459,,,,,,
3,https://www.acnc.gov.au/charity/charities/5c3c1eec-39af-e811-a963-000d3ad24077/profile,Irfan College,Cecil Park,NSW,Registered,Large,15599170085,,,,,,
4,https://www.acnc.gov.au/charity/charities/fd70ca20-38af-e811-a960-000d3ad24282/profile,Seniors Rights Service,Surry Hills,NSW,Registered,Large,98052960862,,,,,,
5,https://www.acnc.gov.au/charity/charities/9e13a19e-39af-e811-a963-000d3ad24077/profile,The Council Of The Queensland Institute Of Medical Research,Herston,QLD,Registered,Large,31411813344,,,,,,
6,https://www.acnc.gov.au/charity/charities/2ef7872a-39af-e811-a962-000d3ad24a0d/profile,The Burger Centre Pty Limited,Randwick,NSW,Registered,Large,52128778745,,,,,,
7,https://www.acnc.gov.au/charity/charities/5e7dc3c2-38af-e811-a962-000d3ad24a0d/profile,Jewish Care,Woollahra,NSW,Registered,Large,29000041529,,,,,,
8,https://www.acnc.gov.au/charity/charities/1837413e-3aaf-e811-a961-000d3ad24182/profile,THE TRUSTEE FOR JEWISHCARE FOUNDATION TRUST,Woollahra,NSW,Registered,Large,85845312459,,,,,,
9,https://www.acnc.gov.au/charity/charities/2aa8cbb7-3aaf-e811-a95e-000d3ad24c60/profile,Ports Australia,Sydney,NSW,Registered,Large,44135430705,,,,,,
10,https://www.acnc.gov.au/charity/charities/7351205f-39af-e811-a961-000d3ad24182/profile,The Young Men's Christian Association Of Victoria Incorporated,Unavailable,Unavailable,Registered,Large,81174456784,,,,,,
11,https://www.acnc.gov.au/charity/charities/03862e6b-39af-e811-a95e-000d3ad24c60/profile,Karitane,Carramar,NSW,Registered,Large,25000018842,,,,,,
12,https://www.acnc.gov.au/charity/charities/a11baa95-39af-e811-a960-000d3ad24282/profile,The Returned & Services League Of Australia (S.A. Branch) Incorporated,Adelaide,SA,Registered,Large,19219796904,,,,,,
13,https://www.acnc.gov.au/charity/charities/3a49abe0-38af-e811-a962-000d3ad24a0d/profile,Queensland Alliance For Mental Health Ltd,Stones Corner,QLD,Registered,Large,23216177453,,,,,,
14,https://www.acnc.gov.au/charity/charities/1e70c236-38af-e811-a963-000d3ad24077/profile,Great Community Transport Inc,Kingswood,NSW,Registered,Large,94787168248,,,,,,
15,https://www.acnc.gov.au/charity/charities/331e1149-39af-e811-a963-000d3ad24077/profile,Wellsprings For Women Incorporated,Dandenong,VIC,Registered,Large,18282739596,,,,,,
16,https://www.acnc.gov.au/charity/charities/d46536d8-2daf-e811-a962-000d3ad24a0d/profile,St. Mary's House of Welcome,Fitzroy,VIC,Registered,Large,54050278754,,,,,,
17,https://www.acnc.gov.au/charity/charities/b0597a12-2caf-e811-a95e-000d3ad24c60/profile,Islamic Relief Australia,Auburn,NSW,Registered,Large,82147006639,,,,,,
18,https://www.acnc.gov.au/charity/charities/8a878520-39af-e811-a961-000d3ad24182/profile,The Winston Churchill Memorial Trust,Acton,ACT,Registered,Large,16008445707,,,,,,
19,https://www.acnc.gov.au/charity/charities/b3c9c537-39af-e811-a962-000d3ad24a0d/profile,Robert C Bulley Charitable Fund,Essendon North,VIC,Registered,Large,71896258330,,,,,,
20,https://www.acnc.gov.au/charity/charities/00a7131b-38af-e811-a962-000d3ad24a0d/profile,University Of Technology Sydney Students' Association,Broadway,NSW,Registered,Large,59352932539,,,,,,
21,https://www.acnc.gov.au/charity/charities/af3c7a14-39af-e811-a961-000d3ad24182/profile,Bunbury Cathedral Grammar School Inc,Gelorup,WA,Registered,Large,36007093540,,,,,,
22,https://www.acnc.gov.au/charity/charities/b5b22868-3aaf-e811-a960-000d3ad24282/profile,Inspire Child Care Foundation Limited,Hoxton Park,NSW,Registered,Large,25607740027,,,,,,
23,https://www.acnc.gov.au/charity/charities/d3ea5724-39af-e811-a960-000d3ad24282/profile,Inspire Church Limited,Hoxton Park,NSW,Registered,Large,30140073178,,,,,,
24,https://www.acnc.gov.au/charity/charities/999e3e5e-38af-e811-a963-000d3ad24077/profile,Independent Schools Victoria Ltd,West Melbourne,VIC,Registered,Large,44711074857,,,,,,
25,https://www.acnc.gov.au/charity/charities/ebf26cbf-38af-e811-a960-000d3ad24282/profile,Philanthropy Australia Ltd,Melbourne,VIC,Registered,Large,79578875531,,,,,,
26,https://www.acnc.gov.au/charity/charities/b144ac16-2caf-e811-a963-000d3ad244fd/profile,Living Stone Foundation Inc,Subiaco,WA,Registered,Large,43517756699,,,,,,
27,https://www.acnc.gov.au/charity/charities/607cbb9d-39af-e811-a962-000d3ad24a0d/profile,Bethany Care Ltd,Varsity Lakes,QLD,Registered,Large,13069810948,,,,,,
28,https://www.acnc.gov.au/charity/charities/10172177-39af-e811-a95e-000d3ad24c60/profile,Allambie Heights Village Ltd,Allambie Heights,NSW,Registered,Large,37137083964,,,,,,
29,https://www.acnc.gov.au/charity/charities/f2421c96-39af-e811-a95e-000d3ad24c60/profile,The Trustee For Bochasanwasi Shri Akshar-Purushottam Swaminarayan Sanstha Cultural Trust,Rosehill,NSW,Registered,Large,48147235657,,,,,,
30,https://www.acnc.gov.au/charity/charities/292dbc82-39af-e811-a960-000d3ad24282/profile,The Trustee For The Bochasanwasi Shri Akshar- Purushottam Swaminarayan Sanstha Australia Trust,Rosehill,NSW,Registered,Large,93351993448,,,,,,
31,https://www.acnc.gov.au/charity/charities/d04123ea-38af-e811-a961-000d3ad24182/profile,The Australian Sikh Association Limited,Glenwood,NSW,Registered,Large,96150419027,,,,,,
32,https://www.acnc.gov.au/charity/charities/98a9e539-dfc5-e811-a962-000d3ad24182/profile,Chorus Australia_ACNC Group,Unavailable,Unavailable,Registered,Large,Unavailable,,,,,,
33,https://www.acnc.gov.au/charity/charities/8d39547c-39af-e811-a960-000d3ad24282/profile,Gurriny Yealamucka (Good Healing) Health Services Aboriginal Corporation,Yarrabah,QLD,Registered,Large,31210982991,,,,,,
34,https://www.acnc.gov.au/charity/charities/142df6e0-39af-e811-a961-000d3ad24182/profile,Robe River Kuruma Aboriginal Corporation RNTBC,Karratha,WA,Registered,Large,99409427503,,,,,,
35,https://www.acnc.gov.au/charity/charities/cddf2c33-38af-e811-a961-000d3ad24182/profile,Oxfam Australia Trading Pty Ltd,Adelaide,SA,Registered,Large,27006448291,,,,,,
36,https://www.acnc.gov.au/charity/charities/acf626e3-2daf-e811-a963-000d3ad24077/profile,Lutheran Church Of Australia Victorian District,Box Hill,VIC,Registered,Large,44055123692,,,,,,
37,https://www.acnc.gov.au/charity/charities/95e299a1-39af-e811-a963-000d3ad244fd/profile,Mcauley Community Services For Women,Footscray,VIC,Registered,Large,85696671223,,,,,,
38,https://www.acnc.gov.au/charity/charities/826b837c-38af-e811-a95e-000d3ad24c60/profile,Mercy Connect Limited,Thurgoona,NSW,Registered,Large,45075648378,,,,,,
39,https://www.acnc.gov.au/charity/charities/1c290789-38af-e811-a960-000d3ad24282/profile,Mercy Services,Tighes Hill,NSW,Registered,Large,34095335309,,,,,,
40,https://www.acnc.gov.au/charity/charities/4c910c5d-39af-e811-a963-000d3ad244fd/profile,Stride Mental Health Limited,Lilyfield,NSW,Registered,Large,58000020146,,,,,,
41,https://www.acnc.gov.au/charity/charities/12f3872a-39af-e811-a962-000d3ad24a0d/profile,Kurrawa Surf Life Saving Club,Broadbeach,QLD,Registered,Large,36275406288,,,,,,
42,https://www.acnc.gov.au/charity/charities/cb7fbb9d-39af-e811-a962-000d3ad24a0d/profile,The Bridge Incorporated,Dandenong,VIC,Registered,Large,31506563698,,,,,,
43,https://www.acnc.gov.au/charity/charities/4ad73616-2caf-e811-a960-000d3ad24282/profile,The Friends School Development Fund Inc.,North Hobart,TAS,Registered,Large,32278422608,,,,,,
44,https://www.acnc.gov.au/charity/charities/74411c96-39af-e811-a95e-000d3ad24c60/profile,Lake Tyer Health & Children Services Association,Toorloo Arm,VIC,Registered,Large,48209560427,,,,,,
45,https://www.acnc.gov.au/charity/charities/d9483b10-2caf-e811-a960-000d3ad24282/profile,Arthur G Birch Estate,Melbourne,VIC,Registered,Large,68591775282,,,,,,
46,https://www.acnc.gov.au/charity/charities/cef59bf3-39af-e811-a962-000d3ad24a0d/profile,Association of the Alliance Française of Victoria,Melbourne,VIC,Registered,Large,91005140385,,,,,,
47,https://www.acnc.gov.au/charity/charities/c8a8e2de-38af-e811-a960-000d3ad24282/profile,Catholic Diocese Of Sale,Warragul,VIC,Registered,Large,51486581500,,,,,,
48,https://www.acnc.gov.au/charity/charities/32e48708-39af-e811-a961-000d3ad24182/profile,Ukrainian Elderly People's Home,Delahey,VIC,Registered,Large,57006305844,,,,,,
49,https://www.acnc.gov.au/charity/charities/3ce8d675-3aaf-e811-a963-000d3ad24077/profile,Aged & Community Services Australia,Melbourne,VIC,Registered,Large,48609882288,,,,,,
50,https://www.acnc.gov.au/charity/charities/54c55b17-2caf-e811-a962-000d3ad24a0d/profile,The Foundation For Young Australians,Melbourne,VIC,Registered,Large,26092744968,,,,,,
51,https://www.acnc.gov.au/charity/charities/69ec745e-38af-e811-a960-000d3ad24282/profile,Wuchopperen Health Service Limited,Cairns,QLD,Registered,Large,15010112580,,,,,,
52,https://www.acnc.gov.au/charity/charities/c3c7b315-2caf-e811-a961-000d3ad24182/profile,Kingston East Neighbourhood Group Inc,Woodridge,QLD,Registered,Large,43596714005,,,,,,
53,https://www.acnc.gov.au/charity/charities/0b82e8f2-38af-e811-a962-000d3ad24a0d/profile,Mcauley Property Limited,Brunswick,VIC,Registered,Large,17151537450,,,,,,
54,https://www.acnc.gov.au/charity/charities/1bd80f21-38af-e811-a961-000d3ad24182/profile,Nagambie Healthcare Incorporated,Nagambie,VIC,Registered,Large,94288195795,,,,,,
55,https://www.acnc.gov.au/charity/charities/7db606c6-38af-e811-a960-000d3ad24282/profile,The Trustee For Jo & Jr Wicking Trust,Melbourne,VIC,Registered,Large,28930773403,,,,,,
56,https://www.acnc.gov.au/charity/charities/7a35413e-3aaf-e811-a961-000d3ad24182/profile,THE TRUSTEE FOR HARRY LYON MOSS TRUST,Melbourne,VIC,Registered,Large,94257215547,,,,,,
57,https://www.acnc.gov.au/charity/charities/1d0095da-2daf-e811-a961-000d3ad24182/profile,D E Lewis Estate,Melbourne,VIC,Registered,Large,73310402698,,,,,,
58,https://www.acnc.gov.au/charity/charities/8e0f7305-2caf-e811-a962-000d3ad24a0d/profile,MTC AUSTRALIA LIMITED,Marrickville,NSW,Registered,Large,26046112702,,,,,,
59,https://www.acnc.gov.au/charity/charities/74c16e96-38af-e811-a962-000d3ad24a0d/profile,Woodleigh School,Langwarrin South,VIC,Registered,Large,99004859821,,,,,,
60,https://www.acnc.gov.au/charity/charities/7d8ff5eb-38af-e811-a963-000d3ad244fd/profile,The Trustee For Country Fire Authority & Brigades Donations Fund,Burwood East,VIC,Registered,Large,29419704198,,,,,,
61,https://www.acnc.gov.au/charity/charities/47a7674b-38af-e811-a961-000d3ad24182/profile,Interchange Illawarra,Wollongong,NSW,Registered,Large,98584619655,,,,,,
62,https://www.acnc.gov.au/charity/charities/23068ec7-38af-e811-a963-000d3ad24077/profile,Ysas Pty Ltd,Fitzroy,VIC,Registered,Large,51080593380,,,,,,
63,https://www.acnc.gov.au/charity/charities/f604efea-38af-e811-a960-000d3ad24282/profile,Workpower Incorporated,Osborne Park,WA,Registered,Large,35376907735,,,,,,
64,https://www.acnc.gov.au/charity/charities/f3b3ccfd-38af-e811-a960-000d3ad24282/profile,"The Scout Association of Australia, South Australian Branch Incorporated",Frewville,SA,Registered,Large,35621021366,,,,,,
65,https://www.acnc.gov.au/charity/charities/8d8679c5-38af-e811-a95e-000d3ad24c60/profile,Community Accommodation & Respite Agency Inc,Hindmarsh,SA,Registered,Large,22813645129,,,,,,
66,https://www.acnc.gov.au/charity/charities/f0f7ff37-39af-e811-a960-000d3ad24282/profile,AINSE Ltd,Lucas Heights,NSW,Registered,Large,18133225331,,,,,,
67,https://www.acnc.gov.au/charity/charities/76e8745e-38af-e811-a960-000d3ad24282/profile,St George Foundation Trust,Sydney,NSW,Registered,Large,44661638970,,,,,,
68,https://www.acnc.gov.au/charity/charities/621afe2c-38af-e811-a962-000d3ad24a0d/profile,Community Wheels Inc,Northmead,NSW,Registered,Large,82553134025,,,,,,
69,https://www.acnc.gov.au/charity/charities/2934eee6-39af-e811-a961-000d3ad24182/profile,Gidget Foundation Australia,North Sydney,NSW,Registered,Large,52160202960,,,,,,
70,https://www.acnc.gov.au/charity/charities/08078ec7-38af-e811-a963-000d3ad24077/profile,Community Learning Ltd,Zillmere,QLD,Registered,Large,51145751837,,,,,,
71,https://www.acnc.gov.au/charity/charities/fb8f9002-39af-e811-a961-000d3ad24182/profile,Aboriginal & Torres Strait Islander Legal Service (Qld) Ltd,Brisbane City,QLD,Registered,Large,11116314562,,,,,,
72,https://www.acnc.gov.au/charity/charities/c7d1367e-38af-e811-a962-000d3ad24a0d/profile,LGBTIQPLUS HEALTH AUSTRALIA,Pyrmont,NSW,Registered,Large,45138151569,,,,,,
73,https://www.acnc.gov.au/charity/charities/a668740c-2caf-e811-a95e-000d3ad24c60/profile,Knoxbrooke Enterprises Limited,Ringwood,VIC,Registered,Large,73068554076,,,,,,
74,https://www.acnc.gov.au/charity/charities/b60b9695-38af-e811-a960-000d3ad24282/profile,Knoxbrooke Incorporated,Ringwood,VIC,Registered,Large,28239668377,,,,,,
75,https://www.acnc.gov.au/charity/charities/656d7116-39af-e811-a963-000d3ad24077/profile,Comm Unity Plus Services Ltd,Deer Park,VIC,Registered,Large,75989153699,,,,,,
76,https://www.acnc.gov.au/charity/charities/301d7146-39af-e811-a95e-000d3ad24c60/profile,Charlestown Caring Group Incorporated,Charlestown,NSW,Registered,Large,36580486622,,,,,,
77,https://www.acnc.gov.au/charity/charities/a81d38e8-7da2-eb11-b1ac-000d3acac77a/profile,MLC School,Burwood,NSW,Registered,Large,84645102325,,,,,,
78,https://www.acnc.gov.au/charity/charities/d7a3d295-38af-e811-a961-000d3ad24182/profile,Boandik Lodge Inc,Mount Gambier,SA,Registered,Large,87396698358,,,,,,
79,https://www.acnc.gov.au/charity/charities/cde826e3-2daf-e811-a963-000d3ad24077/profile,Perth Institute Of Contemporary Arts Limited,Northbridge,WA,Registered,Large,49009372927,,,,,,
80,https://www.acnc.gov.au/charity/charities/a4d5800e-39af-e811-a961-000d3ad24182/profile,Australian Theatre For Young People,Woolloomooloo,NSW,Registered,Large,24000816704,,,,,,
81,https://www.acnc.gov.au/charity/charities/f60602f0-07ec-e811-a967-000d3ad0574c/profile,UNITED MINDS COMMUNITY SERVICES LTD.,Yarrambat,VIC,Registered,Large,18628697665,,,,,,
82,https://www.acnc.gov.au/charity/charities/6635e388-38af-e811-a961-000d3ad24182/profile,St Philip's Christian Education Foundation Ltd,Waratah,NSW,Registered,Large,34002919584,,,,,,
