,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion,website,revenue,expenses,causes,lastreport,religious_ref
300,https://www.acnc.gov.au/charity/charities/c26036d8-2daf-e811-a962-000d3ad24a0d/profile,Keysborough Community Childrens Centre Incorporated,Keysborough,VIC,Registered,Large,94135164817,,,,,,,http://www.childcare.org.au/,2049180.0,1794378.0,Early childhood - aged under 6; Families; People from a culturally and linguistically diverse background,25 Oct 2021,0.0
301,https://www.acnc.gov.au/charity/charities/8a6b36d8-2daf-e811-a962-000d3ad24a0d/profile,Castlemaine Community House Incorporated,Castlemaine,VIC,Registered,Large,20112806357,,,,,,,http://www.cch.org.au/,1286990.0,1148062.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Males; Other charities; People at risk of homelessness/ people experiencing homelessness; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Pre/post release offenders and/or their families; Unemployed persons; Veterans and/or their families; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25,29 Nov 2021,0.0
302,https://www.acnc.gov.au/charity/charities/f46a36d8-2daf-e811-a962-000d3ad24a0d/profile,Shoalhaven Community Pre School Inc,Nowra,NSW,Registered,Large,97893109102,,,,,,,http://www.shoalhavenpreschool.org.au/,1052420.0,930767.0,Early childhood - aged under 6,9 May 2022,0.0
303,https://www.acnc.gov.au/charity/charities/7fcf6311-2caf-e811-a962-000d3ad24a0d/profile,Risk Management Institution Of Australasia Limited,Gordon,NSW,Registered,Large,82106528509,,,,,,,http://www.rmia.org.au/,1208538.0,1097632.0,General community in Australia; Other,17 Jun 2022,0.0
304,https://www.acnc.gov.au/charity/charities/9847d1df-2daf-e811-a962-000d3ad24a0d/profile,Brisbane Girls' Grammar School Parents & Friends' Association Inc.,Unavailable,Unavailable,Registered,Large,77937033837,,,,,,,,1369124.0,1532019.0,Children - aged 6 to under 15; Females; Youth - 15 to under 25,11 Dec 2021,0.0
305,https://www.acnc.gov.au/charity/charities/2651d1df-2daf-e811-a962-000d3ad24a0d/profile,Crossway Baptist Church Inc.,Burwood East,VIC,Registered,Large,26318801524,,,,,,,http://www.crossway.org.au/,6638106.0,8082783.0,General community in Australia,24 Apr 2017,1.0
306,https://www.acnc.gov.au/charity/charities/409f131b-38af-e811-a962-000d3ad24a0d/profile,Lutheran Church Of Australia Queensland District,Googa Creek,QLD,Registered,Large,82265293116,,,,,,,,1924092.0,1666491.0,Children - aged 6 to under 15; Females; Males,23 Jun 2022,1.0
307,https://www.acnc.gov.au/charity/charities/7958d1df-2daf-e811-a962-000d3ad24a0d/profile,Coffs Harbour & District Local Aboriginal Land Council,Coffs Harbour,NSW,Registered,Large,64178399734,,,,,,,https://coffsharbourlalc.com.au/,2159922.0,1364567.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Animals; Children - aged 6 to under 15; Early childhood - aged under 6; Environment; Families; Females; Financially disadvantaged people; Males; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Pre/post release offenders and/or their families; Unemployed persons; Veterans and/or their families; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25,24 Feb 2022,0.0
308,https://www.acnc.gov.au/charity/charities/93a8d9e5-2daf-e811-a962-000d3ad24a0d/profile,St Cecilia's Catholic Primary School Wyong,Pennant Hills,NSW,Registered,Large,64190020653,,,,,,,http://www.scwdbb.catholic.edu.au/,0.0,0.0,Children - aged 6 to under 15,30 Jun 2022,0.0
309,https://www.acnc.gov.au/charity/charities/46a6d9e5-2daf-e811-a962-000d3ad24a0d/profile,Lutheran Church Of Australia Queensland District,Clontarf,QLD,Registered,Large,64203903469,,,,,,,http://www.graceprimary.qld.edu.au/,7893910.0,6671452.0,Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Families; People from a culturally and linguistically diverse background; People with disabilities,22 Jun 2022,1.0
310,https://www.acnc.gov.au/charity/charities/47ae131b-38af-e811-a962-000d3ad24a0d/profile,Mildura Rsl Sub Branch Inc,Mildura,VIC,Registered,Large,94275221734,,,,,,,http://www.mildurarsl.com.au/,4097493.0,2834253.0,Veterans and/or their families,27 Apr 2022,0.0
311,https://www.acnc.gov.au/charity/charities/791a0a21-38af-e811-a962-000d3ad24a0d/profile,Cumberland RSL sub-Branch (RSL NSW),Auburn,NSW,Registered,Large,94267720173,,,,,,,http://cumberlandrslsubbranch.org.au/,4487257.0,654730.0,Veterans and/or their families,20 Apr 2022,0.0
312,https://www.acnc.gov.au/charity/charities/83a4131b-38af-e811-a962-000d3ad24a0d/profile,Ada Mary A'Beckett Childrens Centre Inc,Port Melbourne,VIC,Registered,Large,20553522692,,,,,,,http://www.adamaryabeckett.com.au/,4359274.0,4215489.0,Early childhood - aged under 6,23 Nov 2021,0.0
313,https://www.acnc.gov.au/charity/charities/b6240a21-38af-e811-a962-000d3ad24a0d/profile,Fitted For Work Limited,Richmond,VIC,Registered,Large,78126256862,,,,,,,http://www.fittedforwork.org/,3027369.0,3191388.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Families; Females; Financially disadvantaged people; Gay, lesbian, bisexual, transgender or intersex persons; General community in Australia; Migrants, refugees or asylum seekers; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Pre/post release offenders and/or their families; Unemployed persons; Veterans and/or their families; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25",22 Feb 2022,0.0
314,https://www.acnc.gov.au/charity/charities/f0290a21-38af-e811-a962-000d3ad24a0d/profile,Clayfield Childcare Association Inc,Clayfield,QLD,Registered,Large,26851109591,,,,,,,http://www.wagnerroad.com.au/,1157724.0,1017748.0,Early childhood - aged under 6,25 May 2022,0.0
315,https://www.acnc.gov.au/charity/charities/46220a21-38af-e811-a962-000d3ad24a0d/profile,Kalkadoon Disc Trust,Mount Isa City,QLD,Registered,Large,73693060685,,,,,,,,1785256.0,1476320.0,Aboriginal and Torres Strait Islander people; Financially disadvantaged people; People at risk of homelessness/ people experiencing homelessness; People in rural/regional/remote communities; Youth - 15 to under 25,16 Jun 2021,0.0
316,https://www.acnc.gov.au/charity/charities/14b10327-38af-e811-a962-000d3ad24a0d/profile,Presbyterian Youth,Sydney,NSW,Registered,Large,32922419313,,,,,,,http://pynsw.org.au/,1243388.0,1301091.0,Adults - aged 25 to under 65; Children - aged 6 to under 15; Females; General community in Australia; Males; Other charities; Youth - 15 to under 25,5 Aug 2016,1.0
317,https://www.acnc.gov.au/charity/charities/dcb50327-38af-e811-a962-000d3ad24a0d/profile,The Trustee For Bialik College Scholarship Fund,Hawthorn,VIC,Registered,Large,64435998300,,,,,,,,2101919.0,479551.0,Children - aged 6 to under 15; Early childhood - aged under 6; Financially disadvantaged people; Youth - 15 to under 25,30 Jun 2022,0.0
318,https://www.acnc.gov.au/charity/charities/84ad0327-38af-e811-a962-000d3ad24a0d/profile,Carey Baptist Church,Harrisdale,WA,Registered,Large,98191402649,,,,,,,https://www.carey.asn.au/,1336569.0,1470198.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; General community in Australia; Males; Youth - 15 to under 25,29 Jun 2022,1.0
319,https://www.acnc.gov.au/charity/charities/88cd6311-2caf-e811-a962-000d3ad24a0d/profile,Alzheimer's Australia Wa Ltd,Unavailable,Unavailable,Registered,Large,82102951986,,,,,,,http://www.alzheimerswa.org.au/,13541922.0,12152529.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Families; People with chronic illness (including terminal illness); People with disabilities,31 Jan 2022,0.0
320,https://www.acnc.gov.au/charity/charities/6dc86311-2caf-e811-a962-000d3ad24a0d/profile,Oxford Falls Grammar School Limited,Oxford Falls,NSW,Registered,Large,64002746741,,,,,,,http://www.ofg.nsw.edu.au/,25619671.0,21166546.0,Children - aged 6 to under 15; Youth - 15 to under 25,1 Jun 2022,0.0
321,https://www.acnc.gov.au/charity/charities/92296b0b-2caf-e811-a962-000d3ad24a0d/profile,Eating Disorders Queensland Limited,South Brisbane,QLD,Registered,Large,19967933560,,,,,,,http://www.eatingdisordersqueensland.org.au/,1499769.0,1698366.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Families; Females; Financially disadvantaged people; Gay, lesbian, bisexual, transgender or intersex persons; Males; Migrants, refugees or asylum seekers; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Youth - 15 to under 25",3 Dec 2021,0.0
322,https://www.acnc.gov.au/charity/charities/fab951ba-3aaf-e811-a963-000d3ad244fd/profile,INTERNATIONAL DAY OF PEOPLE WITH DISABILITIES LIMITED,Kenmore,QLD,Registered,Large,33627347371,,,,,,,http://www.idpwd.org/,2429076.0,2490900.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Males; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities; Youth - 15 to under 25,20 Jan 2022,0.0
323,https://www.acnc.gov.au/charity/charities/d60d7305-2caf-e811-a962-000d3ad24a0d/profile,Four Winds Concerts Incorporated,Bermagui,NSW,Registered,Large,31841368316,,,,,,,http://www.fourwinds.com.au/,1392423.0,1320984.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; People in rural/regional/remote communities; Youth - 15 to under 25,8 Mar 2022,0.0
324,https://www.acnc.gov.au/charity/charities/4c216b0b-2caf-e811-a962-000d3ad24a0d/profile,Juno Services Inc,Glenroy,VIC,Registered,Large,53578663810,,,,,,,http://juno.org.au/,1792751.0,1721059.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Families; Females; People at risk of homelessness/ people experiencing homelessness,20 Jan 2022,0.0
325,https://www.acnc.gov.au/charity/charities/5bc76311-2caf-e811-a962-000d3ad24a0d/profile,Creek Street Christian College Inc,Bendigo,VIC,Registered,Large,64030753819,,,,,,,http://www.creekstreet.vic.edu.au/,5260633.0,4892855.0,Children - aged 6 to under 15; Early childhood - aged under 6; Families; Youth - 15 to under 25,27 Jul 2021,1.0
326,https://www.acnc.gov.au/charity/charities/25206b0b-2caf-e811-a962-000d3ad24a0d/profile,St Paul's Catholic College Manly,Pennant Hills,NSW,Registered,Large,31990612609,,,,,,,http://www.stpaulsmanly.nsw.edu.au/,0.0,0.0,Children - aged 6 to under 15; Youth - 15 to under 25,30 Jun 2022,0.0
327,https://www.acnc.gov.au/charity/charities/7b1c6b0b-2caf-e811-a962-000d3ad24a0d/profile,Meadow Heights Learning Shop Inc.,Meadow Heights,VIC,Registered,Large,31721175099,,,,,,,http://mhec.vic.edu.au/,2223965.0,3047207.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Females; Financially disadvantaged people; General community in Australia; Males; People from a culturally and linguistically diverse background; People with disabilities; Unemployed persons; Youth - 15 to under 25,9 Jun 2022,0.0
328,https://www.acnc.gov.au/charity/charities/3b246b0b-2caf-e811-a962-000d3ad24a0d/profile,Children First Foundation,North Melbourne,VIC,Registered,Large,73088112261,,,,,,,http://www.childrenfirstfoundation.org.au/,1499398.0,1291045.0,Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Males; Overseas communities or charities; People with disabilities; Youth - 15 to under 25,27 Jan 2022,0.0
329,https://www.acnc.gov.au/charity/charities/6ec36311-2caf-e811-a962-000d3ad24a0d/profile,Hills Community Options Inc,Mount Barker,SA,Registered,Large,38068202746,,,,,,,http://hco.net.au/,17883672.0,16683437.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Females; Gay, lesbian, bisexual, transgender or intersex persons; Males; People from a culturally and linguistically diverse background; People with disabilities; Youth - 15 to under 25",19 Nov 2021,0.0
330,https://www.acnc.gov.au/charity/charities/ea0e7305-2caf-e811-a962-000d3ad24a0d/profile,Charingfield Limited,Waverley,NSW,Registered,Large,26057557758,,,,,,,http://www.charingfield.org.au/,4076093.0,6351579.0,Adults - aged 65 and over,20 Dec 2021,0.0
331,https://www.acnc.gov.au/charity/charities/896b36d8-2daf-e811-a962-000d3ad24a0d/profile,St Pius X Parish Primary School,Warrnambool West,VIC,Registered,Large,97809240783,,,,,,,,4394404.0,4557273.0,"Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Gay, lesbian, bisexual, transgender or intersex persons; Males; Migrants, refugees or asylum seekers; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities",27 Jun 2022,1.0
332,https://www.acnc.gov.au/charity/charities/8e47d1df-2daf-e811-a962-000d3ad24a0d/profile,St Joseph's Catholic School,Hopetoun,VIC,Registered,Large,77829359862,,,,,,,,1093680.0,1165081.0,"Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Gay, lesbian, bisexual, transgender or intersex persons; Males; Migrants, refugees or asylum seekers; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities",27 Jun 2022,1.0
333,https://www.acnc.gov.au/charity/charities/a76236d8-2daf-e811-a962-000d3ad24a0d/profile,Diabetes Australia - Tasmania,Hobart,TAS,Registered,Large,90087092180,,,,,,,http://www.diabetestas.org.au/,3567267.0,3178584.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Families; People with chronic illness (including terminal illness),6 Dec 2021,0.0
334,https://www.acnc.gov.au/charity/charities/9bc46311-2caf-e811-a962-000d3ad24a0d/profile,St Finbarrs Primary School,Lismore,NSW,Registered,Large,86084927561,,,,,,,,0.0,0.0,Children - aged 6 to under 15,29 Jun 2022,1.0
335,https://www.acnc.gov.au/charity/charities/1bd06311-2caf-e811-a962-000d3ad24a0d/profile,Hunter Community Legal Centre Inc,Newcastle,NSW,Registered,Large,48822187862,,,,,,,http://www.hunterclc.com.au/,1522213.0,1587224.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Gay, lesbian, bisexual, transgender or intersex persons; General community in Australia; Males; Migrants, refugees or asylum seekers; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Pre/post release offenders and/or their families; Unemployed persons; Veterans and/or their families; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25",17 Dec 2021,0.0
336,https://www.acnc.gov.au/charity/charities/416136d8-2daf-e811-a962-000d3ad24a0d/profile,Christian Heritage College,Carindale,QLD,Registered,Large,94107091001,,,,,,,http://www.chc.edu.au/,6654478.0,7339849.0,General community in Australia,29 Jun 2022,1.0
337,https://www.acnc.gov.au/charity/charities/18c56311-2caf-e811-a962-000d3ad24a0d/profile,All Saints Anglican School Limited,Merrimac,QLD,Registered,Large,64010643857,,,,,,,http://www.asas.qld.edu.au/,41094645.0,39889089.0,Children - aged 6 to under 15; Early childhood - aged under 6; Youth - 15 to under 25,28 Jun 2022,0.0
338,https://www.acnc.gov.au/charity/charities/9e6636d8-2daf-e811-a962-000d3ad24a0d/profile,Leading The Way With Dr. Michael Youssef Australia Limited,Penrith,NSW,Registered,Large,59087685425,,,,,,,http://ltw.org/,1291716.0,1279725.0,General community in Australia,10 Dec 2021,1.0
339,https://www.acnc.gov.au/charity/charities/a8c66311-2caf-e811-a962-000d3ad24a0d/profile,Mount Hira College,Keysborough,VIC,Registered,Large,86093977621,,,,,,,http://www.mthira.vic.edu.au/,12933683.0,12251765.0,Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; General community in Australia; Males; People from a culturally and linguistically diverse background; People with disabilities; Unemployed persons; Youth - 15 to under 25,29 Jun 2022,0.0
340,https://www.acnc.gov.au/charity/charities/c757d1df-2daf-e811-a962-000d3ad24a0d/profile,The Trustee For The Vincent Fairfax Family Trust,Sydney,NSW,Registered,Large,64127467210,,,,,,,http://vfff.org.au/,7781195.0,12185289.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Financially disadvantaged people; General community in Australia; Other charities; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities; Pre/post release offenders and/or their families; Unemployed persons; Youth - 15 to under 25,28 Jan 2022,1.0
341,https://www.acnc.gov.au/charity/charities/59add9e5-2daf-e811-a962-000d3ad24a0d/profile,Emanuel Synagogue,Woollahra,NSW,Registered,Large,44000049329,,,,,,,,4345226.0,4727873.0,General community in Australia,29 May 2017,0.0
342,https://www.acnc.gov.au/charity/charities/9ea6d9e5-2daf-e811-a962-000d3ad24a0d/profile,Our Lady Of Perpetual Succour School,Surrey Hills,VIC,Registered,Large,32435941251,,,,,,,http://www.olsurreyhills.catholic.edu.au/,2820971.0,2815477.0,Children - aged 6 to under 15; Other; People with disabilities,30 Jun 2021,1.0
343,https://www.acnc.gov.au/charity/charities/7f4cd1df-2daf-e811-a962-000d3ad24a0d/profile,Padbury Education And Child Care Centre Limited,Padbury,WA,Registered,Large,78086992145,,,,,,,http://www.padburychildcare.com.au/,2985539.0,2864634.0,Children - aged 6 to under 15; Early childhood - aged under 6,27 Jun 2022,0.0
344,https://www.acnc.gov.au/charity/charities/eda3131b-38af-e811-a962-000d3ad24a0d/profile,Woodbine Inc,Warracknabeal,VIC,Registered,Large,54139944572,,,,,,,http://www.woodbine.org.au/,12337078.0,10466920.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Families; Females; Males; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities; Youth - 15 to under 25,17 Jan 2022,0.0
