,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion,website,revenue,expenses,causes,lastreport,religious_ref
1200,https://www.acnc.gov.au/charity/charities/c162a1ed-39af-e811-a962-000d3ad24a0d/profile,Centre for Rural and Regional Aboriginal and Torres Strait Islander Health Ltd trading as Centre for Rural and Regional Indigenous Health,Gladstone Central,QLD,Registered,Large,53156021377,,,,,,,,1195011.0,1066577.0,Aboriginal and Torres Strait Islander people; Families; People with chronic illness (including terminal illness),14 Jun 2022,0.0
1201,https://www.acnc.gov.au/charity/charities/e06a740c-2caf-e811-a95e-000d3ad24c60/profile,Qld University Of Technology Student Guild,Kelvin Grove,QLD,Registered,Large,77713415382,,,,,,,http://www.qutguild.com/,3680873.0,3969254.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Females; Financially disadvantaged people; Gay, lesbian, bisexual, transgender or intersex persons; Males; People with disabilities; Youth - 15 to under 25",29 Aug 2022,0.0
1202,https://www.acnc.gov.au/charity/charities/fc7e66b3-38af-e811-a95e-000d3ad24c60/profile,Lutheran School Maitland,Maitland,SA,Registered,Large,22476654808,,,,,,,http://www.mls.sa.edu.au/,7047754.0,6049251.0,Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; General community in Australia; Males; People in rural/regional/remote communities; Youth - 15 to under 25,27 Jun 2022,1.0
1203,https://www.acnc.gov.au/charity/charities/5755e0a2-38af-e811-a962-000d3ad24a0d/profile,Volunteering Victoria Incorporated,North Melbourne,VIC,Registered,Large,79378017212,,,,,,,http://www.volunteeringvictoria.org.au/,2426184.0,2296193.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Animals; Children - aged 6 to under 15; Early childhood - aged under 6; Environment; Families; Females; Financially disadvantaged people; General community in Australia; Males; Other charities; Overseas communities or charities; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Pre/post release offenders and/or their families; Unemployed persons; Veterans and/or their families; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25,22 Dec 2021,0.0
1204,https://www.acnc.gov.au/charity/charities/62f23439-38af-e811-a962-000d3ad24a0d/profile,The Cottage School Inc,Bellerive,TAS,Registered,Large,94856408657,,,,,,,https://cottageschool.tas.edu.au/,0.0,0.0,Children - aged 6 to under 15; Early childhood - aged under 6,23 Jun 2022,0.0
1205,https://www.acnc.gov.au/charity/charities/d6e60144-3aaf-e811-a962-000d3ad24a0d/profile,Caulfield Grammar School,St Kilda East,VIC,Registered,Large,79004170772,,,,,,,https://www.caulfieldgs.vic.edu.au/,0.0,0.0,Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Early childhood - aged under 6; Females; Financially disadvantaged people; Males; People in rural/regional/remote communities; Youth - 15 to under 25,21 Jun 2022,0.0
1206,https://www.acnc.gov.au/charity/charities/1f68e52c-38af-e811-a95e-000d3ad24c60/profile,Agricultural Societies Council Of New South Wales Ltd,Hunters Hill,NSW,Registered,Large,69150951670,,,,,,,http://www.agshowsnsw.org.au/,2085002.0,1881350.0,Adults - aged 25 to under 65; People in rural/regional/remote communities; Youth - 15 to under 25,5 May 2022,0.0
1207,https://www.acnc.gov.au/charity/charities/1d01d21a-38af-e811-a960-000d3ad24282/profile,Murray Bridge Child Care Centre Inc,Unavailable,Unavailable,Registered,Large,82223240669,,,,,,,http://mbccc.com.au/,1155660.0,1220398.0,Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Financially disadvantaged people; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities,23 Jun 2022,0.0
1208,https://www.acnc.gov.au/charity/charities/09deae91-3aaf-e811-a95e-000d3ad24c60/profile,The Australian Council For Health Physical Education & Recreation (Victorianbranch) Incorporated,Melbourne,VIC,Registered,Large,23911016643,,,,,,,http://www.achper.vic.edu.au/,1790279.0,1642441.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; General community in Australia; People in rural/regional/remote communities; Youth - 15 to under 25,31 Aug 2022,0.0
1209,https://www.acnc.gov.au/charity/charities/fd6c2937-39af-e811-a963-000d3ad24077/profile,Hothouse Theatre Limited,Wodonga,VIC,Registered,Large,93005499758,,,,,,,http://www.hothousetheatre.com.au/,1046176.0,876886.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Families; Gay, lesbian, bisexual, transgender or intersex persons; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities; Youth - 15 to under 25",31 Aug 2022,0.0
