,ABN,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,website,revenue,expenses,causes,lastreport,religious_ref,Number_of_Responsible_Persons,Registration_Date,Date_Organisation_Established
0,49678449231,https://www.acnc.gov.au/charity/charities/02a6763f-38af-e811-a961-000d3ad24182/profile,Bethel New Life Christian Fellowship,Dandenong,VIC,Registered,Medium,http://www.bethelnewlife.com.au/,417766.0,265316.0,Families; Financially disadvantaged people; General community in Australia; Overseas communities or charities; People from a culturally and linguistically diverse background,20 Dec 2021,1.0,3.0,03/12/2012,01/01/2007
1,14679778375,https://www.acnc.gov.au/charity/charities/701b362d-38af-e811-a961-000d3ad24182/profile,Thomson River Common Equity Rental Housing Co-Operative Ltd,Sale,VIC,Registered,Medium,,274030.0,239129.0,General community in Australia,31 Jan 2022,0.0,10.0,03/12/2012,01/01/2005
2,78152504400,https://www.acnc.gov.au/charity/charities/a2e20f21-38af-e811-a961-000d3ad24182/profile,From The Ground Up Ltd,Brunswick East,VIC,Registered,Medium,https://playgroundideas.org/,,,,,0.0,5.0,03/12/2012,01/01/2011
3,86780010507,https://www.acnc.gov.au/charity/charities/43da2c33-38af-e811-a961-000d3ad24182/profile,Lutheran Church Of Australia Queensland District,Ipswich,QLD,Registered,Medium,http://ipswich.church/,0.0,0.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Males; Youth - 15 to under 25,16 Apr 2022,1.0,3.0,03/12/2012,01/01/2001
4,44233569937,https://www.acnc.gov.au/charity/charities/43540827-38af-e811-a961-000d3ad24182/profile,Cobram Community House Inc,Cobram,VIC,Registered,Medium,http://www.cch.vic.edu.au/,688261.0,507710.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Families; Financially disadvantaged people; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities; Unemployed persons; Youth - 15 to under 25,15 Dec 2021,0.0,8.0,03/12/2012,01/01/1983
5,44139400963,https://www.acnc.gov.au/charity/charities/b8560827-38af-e811-a961-000d3ad24182/profile,Furlough House,Narrabeen,NSW,Registered,Medium,http://www.furloughhouse.com.au/,,,,,0.0,2.0,03/12/2012,01/01/2009
6,44395948159,https://www.acnc.gov.au/charity/charities/c0a6763f-38af-e811-a961-000d3ad24182/profile,Wollangarra Inc,Glenmaggie,VIC,Registered,Medium,http://www.wollangarra.org.au/,252058.0,240186.0,Children - aged 6 to under 15; Youth - 15 to under 25,5 Aug 2022,0.0,5.0,03/12/2012,01/01/1989
7,73912933452,https://www.acnc.gov.au/charity/charities/bbed2739-38af-e811-a961-000d3ad24182/profile,Goulburn Valley Community Radio Inc,Shepparton,VIC,Registered,Medium,http://fm985.com.au/,254233.0,395680.0,"Families; Gay, lesbian, bisexual, transgender or intersex persons; General community in Australia; Migrants, refugees or asylum seekers; People from a culturally and linguistically diverse background; People in rural/regional/remote communities",27 Apr 2021,0.0,2.0,03/12/2012,01/01/1981
8,44448460486,https://www.acnc.gov.au/charity/charities/04a8763f-38af-e811-a961-000d3ad24182/profile,Rouse Hill Baptist Church,Unavailable,Unavailable,Registered,Medium,http://www.rhbc.com.au/,,,,,1.0,11.0,03/12/2012,01/01/1988
9,20873461261,https://www.acnc.gov.au/charity/charities/9b12362d-38af-e811-a961-000d3ad24182/profile,Northern Beaches Women's Shelter Inc,Manly,NSW,Registered,Medium,http://nbws.org.au/,998064.0,773616.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Females; Financially disadvantaged people; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; Youth - 15 to under 25,22 Mar 2022,0.0,9.0,03/12/2012,01/01/2010
10,14637350953,https://www.acnc.gov.au/charity/charities/dd1a362d-38af-e811-a961-000d3ad24182/profile,Community Compassion Ministries,Redbank Plains,QLD,Registered,Medium,,420427.0,158638.0,"Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Gay, lesbian, bisexual, transgender or intersex persons; General community in Australia; Males; Migrants, refugees or asylum seekers; Other charities; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Pre/post release offenders and/or their families; Unemployed persons; Veterans and/or their families; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25",19 Aug 2022,0.0,5.0,03/12/2012,01/01/2008
11,73909265766,https://www.acnc.gov.au/charity/charities/88ec2739-38af-e811-a961-000d3ad24182/profile,Smithfield Catholic Church,Smithfield,NSW,Registered,Medium,,,,,,1.0,4.0,03/12/2012,01/01/1949
