,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion
0,https://www.acnc.gov.au/charity/charities/9bc511a8-38af-e811-a961-000d3ad24182/profile,The Carly Ryan Foundation Incorporated,Stirling,SA,Registered,Medium,60858926697,,,,,,
1,https://www.acnc.gov.au/charity/charities/0fca11a8-38af-e811-a961-000d3ad24182/profile,Trustees Of The Patrician Brothers,Casula,NSW,Registered,Medium,45765168612,,,,,,
2,https://www.acnc.gov.au/charity/charities/b8b2c3a1-38af-e811-a961-000d3ad24182/profile,St Dominic Savio Early Learning Centre Pty Ltd,Clayton,VIC,Registered,Medium,22149056075,,,,,,
3,https://www.acnc.gov.au/charity/charities/1ab3c3a1-38af-e811-a961-000d3ad24182/profile,International Specialised Skills Institute,Carlton,VIC,Registered,Medium,22165043213,,,,,,
4,https://www.acnc.gov.au/charity/charities/9794ca9b-38af-e811-a961-000d3ad24182/profile,Yirs One Stop Youth Shop Inc,Mackay,QLD,Registered,Medium,40080699764,,,,,,
5,https://www.acnc.gov.au/charity/charities/c68f8520-39af-e811-a961-000d3ad24182/profile,Ananda Marga Pracaraka Samgha Ltd Vistara Primary School,Richmond Hill,NSW,Registered,Medium,30110885967,,,,,,
6,https://www.acnc.gov.au/charity/charities/16acf826-39af-e811-a961-000d3ad24182/profile,Red Chief Local Aboriginal Land Council,Gunnedah,NSW,Registered,Medium,11825966870,,,,,,
7,https://www.acnc.gov.au/charity/charities/1cede932-39af-e811-a961-000d3ad24182/profile,Estate Of N A M Findlay,Hobart,TAS,Registered,Medium,18152542060,,,,,,
8,https://www.acnc.gov.au/charity/charities/dcadf826-39af-e811-a961-000d3ad24182/profile,Hindu Association Of Western Australia Inc,Canning Vale,WA,Registered,Medium,52149783309,,,,,,
9,https://www.acnc.gov.au/charity/charities/6bebe932-39af-e811-a961-000d3ad24182/profile,Epilepsy Assoc Of Tasmania Inc,South Launceston,TAS,Registered,Medium,18186427891,,,,,,
10,https://www.acnc.gov.au/charity/charities/0a71ff46-39af-e811-a961-000d3ad24182/profile,Food Ladder,Manly,NSW,Registered,Medium,89132323347,,,,,,
11,https://www.acnc.gov.au/charity/charities/40e5e932-39af-e811-a961-000d3ad24182/profile,North Victorian Buddhist Association,Mickleham,VIC,Registered,Medium,76258758289,,,,,,
12,https://www.acnc.gov.au/charity/charities/3663fd4c-39af-e811-a961-000d3ad24182/profile,Tamworth Montessori Association Inc,Tamworth,NSW,Registered,Medium,24572240115,,,,,,
13,https://www.acnc.gov.au/charity/charities/f373ff46-39af-e811-a961-000d3ad24182/profile,Arundel Park Riding Centre Inc,Coombabah,QLD,Registered,Medium,36527102616,,,,,,
14,https://www.acnc.gov.au/charity/charities/90e7e932-39af-e811-a961-000d3ad24182/profile,Australian Dance Council - Ausdance Vic,Yarraville,VIC,Registered,Medium,18030668584,,,,,,
15,https://www.acnc.gov.au/charity/charities/9278ff46-39af-e811-a961-000d3ad24182/profile,Royal Geelong Agricultural & Pastoral Society Inc,Breakwater,VIC,Registered,Medium,42236758715,,,,,,
16,https://www.acnc.gov.au/charity/charities/e579ff46-39af-e811-a961-000d3ad24182/profile,St Johns Anglican Church,Highton,VIC,Registered,Medium,42223717661,,,,,,
17,https://www.acnc.gov.au/charity/charities/59080f53-39af-e811-a961-000d3ad24182/profile,St Joseph's Catholic Primary School Nyngan,Forbes,NSW,Registered,Medium,76588949395,,,,,,
18,https://www.acnc.gov.au/charity/charities/e9c6f13e-39af-e811-a961-000d3ad24182/profile,West End Scott Street Community Kindergarten Association Inc,West End,QLD,Registered,Medium,80830875661,,,,,,
19,https://www.acnc.gov.au/charity/charities/090e0f53-39af-e811-a961-000d3ad24182/profile,Thornbury Kindergarten Inc,Thornbury,VIC,Registered,Medium,72182315364,,,,,,
20,https://www.acnc.gov.au/charity/charities/99120f53-39af-e811-a961-000d3ad24182/profile,Isee Foundation,Unavailable,Unavailable,Registered,Medium,93122057231,,,,,,
21,https://www.acnc.gov.au/charity/charities/a8070f53-39af-e811-a961-000d3ad24182/profile,Uniting Church In Australia Adelaide West,Brooklyn Park,SA,Registered,Medium,76585525379,,,,,,
22,https://www.acnc.gov.au/charity/charities/b9080f53-39af-e811-a961-000d3ad24182/profile,The Provisional Parish Of Guildford With Villawood,Guildford,NSW,Registered,Medium,76589146706,,,,,,
23,https://www.acnc.gov.au/charity/charities/407bff46-39af-e811-a961-000d3ad24182/profile,Hedland Womens Refuge Inc,Port Hedland,WA,Registered,Medium,52594085767,,,,,,
24,https://www.acnc.gov.au/charity/charities/926bd1a6-3aaf-e811-a961-000d3ad24182/profile,Congregation Khal Chasidim Incorporated,Unavailable,Unavailable,Registered,Medium,60227440329,,,,,,
25,https://www.acnc.gov.au/charity/charities/3696c2b2-3aaf-e811-a961-000d3ad24182/profile,UNSW International House Charitable Trust,Unsw Sydney,NSW,Registered,Medium,90140483826,,,,,,
26,https://www.acnc.gov.au/charity/charities/6571d1a6-3aaf-e811-a961-000d3ad24182/profile,Islamic Charitable Trust Fund,Kuraby,QLD,Registered,Medium,87682381271,,,,,,
27,https://www.acnc.gov.au/charity/charities/ce44a194-3aaf-e811-a961-000d3ad24182/profile,Ensemble Offspring Limited,Tempe,NSW,Registered,Medium,70830604180,,,,,,
28,https://www.acnc.gov.au/charity/charities/a2b4989a-3aaf-e811-a961-000d3ad24182/profile,Dream Centre Christian Church Ltd_ACNC Group,Unavailable,Unavailable,Registered,Medium,Unavailable,,,,,,
29,https://www.acnc.gov.au/charity/charities/9b9cc2b2-3aaf-e811-a961-000d3ad24182/profile,Access Newcastle Hunter Manning Ltd,Mayfield,NSW,Registered,Medium,50099295557,,,,,,
30,https://www.acnc.gov.au/charity/charities/0f98c2b2-3aaf-e811-a961-000d3ad24182/profile,Artology Ltd,Sydney,NSW,Registered,Medium,14154243204,,,,,,
31,https://www.acnc.gov.au/charity/charities/61b2989a-3aaf-e811-a961-000d3ad24182/profile,Unavailable,Unavailable,Unavailable,Registered,Medium,Unavailable,,,,,,
32,https://www.acnc.gov.au/charity/charities/34aae539-dfc5-e811-a962-000d3ad24182/profile,Ellie V Pullin Pre-School Inc,Ringwood North,VIC,Registered,Medium,98897608343,,,,,,
33,https://www.acnc.gov.au/charity/charities/9798c2b2-3aaf-e811-a961-000d3ad24182/profile,Bringing Them Home WA Incorporated,Perth,WA,Registered,Medium,27884973865,,,,,,
34,https://www.acnc.gov.au/charity/charities/e736bbb8-3aaf-e811-a961-000d3ad24182/profile,Endeavour Mental Health Recovery Clubhouse Incorporated,Port Macquarie,NSW,Registered,Medium,30195998441,,,,,,
35,https://www.acnc.gov.au/charity/charities/6ff1b55c-30ba-e811-a961-000d3ad24182/profile,Caleb Charitable Foundation,Gladstone Park,VIC,Registered,Medium,54710074040,,,,,,
36,https://www.acnc.gov.au/charity/charities/1c34bbb8-3aaf-e811-a961-000d3ad24182/profile,Northern Community Careworks Ltd,Preston,VIC,Registered,Medium,25626129084,,,,,,
37,https://www.acnc.gov.au/charity/charities/dc1aa374-30ba-e811-a961-000d3ad24182/profile,THE CHIEF MINISTER'S CHARITABLE FUND LIMITED,Mawson,ACT,Registered,Medium,62627111700,,,,,,
38,https://www.acnc.gov.au/charity/charities/091b9c7a-30ba-e811-a961-000d3ad24182/profile,Animal Liberation Victoria Inc.,Melbourne,VIC,Registered,Medium,60077405223,,,,,,
39,https://www.acnc.gov.au/charity/charities/383ea268-105c-e911-a970-000d3ad24182/profile,Bali Street Dog Association Incorporated,Rose Bay,NSW,Registered,Medium,20294776233,,,,,,
40,https://www.acnc.gov.au/charity/charities/032a450a-2caf-e811-a960-000d3ad24282/profile,Neighbourhood Centre In Greenhills Inc,Greensborough,VIC,Registered,Medium,77506593314,,,,,,
41,https://www.acnc.gov.au/charity/charities/19dfab6e-30ba-e811-a961-000d3ad24182/profile,Brain Cancer Collective Ltd,Pymble,NSW,Registered,Medium,19627717926,,,,,,
42,https://www.acnc.gov.au/charity/charities/de6ed1a6-3aaf-e811-a961-000d3ad24182/profile,Pathways to Progress Incorporated,Currumbin Waters,QLD,Registered,Medium,39667337578,,,,,,
43,https://www.acnc.gov.au/charity/charities/411c96a0-3aaf-e811-a961-000d3ad24182/profile,ROYALS CHURCH LTD.,Portsmith,QLD,Registered,Medium,34608286077,,,,,,
44,https://www.acnc.gov.au/charity/charities/e11b96a0-3aaf-e811-a961-000d3ad24182/profile,Perth City Farm Incorporated,East Perth,WA,Registered,Medium,90364009655,,,,,,
45,https://www.acnc.gov.au/charity/charities/5c0d96a0-3aaf-e811-a961-000d3ad24182/profile,RIVERS APOSTOLIC CENTRE LTD,Slacks Creek,QLD,Registered,Medium,24099011417,,,,,,
46,https://www.acnc.gov.au/charity/charities/296ed1a6-3aaf-e811-a961-000d3ad24182/profile,Wandoan Show Society Inc,Wandoan,QLD,Registered,Medium,72110864588,,,,,,
47,https://www.acnc.gov.au/charity/charities/cc69d1a6-3aaf-e811-a961-000d3ad24182/profile,Afri-Aus Care Incorporated,Springvale South,VIC,Registered,Medium,48898939062,,,,,,
