,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion,website,revenue,expenses,causes,lastreport,religious_ref
600,https://www.acnc.gov.au/charity/charities/3a84a005-3aaf-e811-a962-000d3ad24a0d/profile,The Greta Community Pre-School Inc,Greta,NSW,Registered,Medium,78317172566,,,,,,,http://www.gretapreschool.com.au/,520445.0,390090.0,Early childhood - aged under 6,10 Jun 2022,0.0
601,https://www.acnc.gov.au/charity/charities/c4d84fe1-39af-e811-a962-000d3ad24a0d/profile,R.S.L. Of A. (Qld Branch) Beaudesert Sub-Branch,Beaudesert,QLD,Registered,Medium,20436120234,,,,,,,,452674.0,512458.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Females; Males; Veterans and/or their families,30 Jun 2022,0.0
602,https://www.acnc.gov.au/charity/charities/25a3b2a3-39af-e811-a962-000d3ad24a0d/profile,Budgewoi Halekulani Pre School Kindergarten Inc,Budgewoi,NSW,Registered,Medium,85661937169,,,,,,,https://www.facebook.com/budgewoipreschool/,775838.0,769774.0,Aboriginal and Torres Strait Islander people; Early childhood - aged under 6; Females; Financially disadvantaged people; Males,28 Apr 2022,0.0
603,https://www.acnc.gov.au/charity/charities/716446e7-39af-e811-a962-000d3ad24a0d/profile,Refugee Migrant Children Centre,Sunshine,VIC,Registered,Medium,80840704309,,,,,,,http://www.rmccaustralia.org.au/,545786.0,737457.0,Children - aged 6 to under 15; Financially disadvantaged people; People from a culturally and linguistically diverse background,25 Mar 2022,0.0
604,https://www.acnc.gov.au/charity/charities/84f49bf3-39af-e811-a962-000d3ad24a0d/profile,Paterson Valley Community Pre-School Incorporated,Paterson,NSW,Registered,Medium,80250372075,,,,,,,http://www.patersonvalleypreschool.com/,755792.0,534039.0,Aboriginal and Torres Strait Islander people; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Males; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities,30 Jun 2022,0.0
605,https://www.acnc.gov.au/charity/charities/e81ca2f9-39af-e811-a962-000d3ad24a0d/profile,DOCTORS FOR THE ENVIRONMENT AUSTRALIA INCORPORATED,Carlton,VIC,Registered,Medium,80178870373,,,,,,,http://dea.org.au/,524431.0,489326.0,General community in Australia,18 Jan 2022,0.0
606,https://www.acnc.gov.au/charity/charities/16dc4fe1-39af-e811-a962-000d3ad24a0d/profile,Creative Regions Limited,Bundaberg Central,QLD,Registered,Medium,48130604732,,,,,,,http://creativeregions.com.au/,448346.0,432110.0,Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities; Youth - 15 to under 25,30 May 2022,0.0
607,https://www.acnc.gov.au/charity/charities/0787a005-3aaf-e811-a962-000d3ad24a0d/profile,Neuroblastoma Australia,Crows Nest,NSW,Registered,Medium,74173375414,,,,,,,http://www.neuroblastoma.org.au/,811546.0,636141.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Youth - 15 to under 25,17 Dec 2021,0.0
608,https://www.acnc.gov.au/charity/charities/67469cff-39af-e811-a962-000d3ad24a0d/profile,Asset Institute Limited,Brisbane,QLD,Registered,Medium,38165199959,,,,,,,http://www.assetinstitute.com/,400758.0,384701.0,Adults - aged 25 to under 65; General community in Australia; People from a culturally and linguistically diverse background,16 Dec 2021,0.0
609,https://www.acnc.gov.au/charity/charities/ade60144-3aaf-e811-a962-000d3ad24a0d/profile,THE TRUSTEE FOR THE HAROLD MITCHELL FOUNDATION FUND,South Melbourne,VIC,Registered,Medium,68322456718,,,,,,,http://haroldmitchellfoundation.com.au/,274326.0,730199.0,Adults - aged 25 to under 65; Youth - 15 to under 25,31 Jan 2022,0.0
610,https://www.acnc.gov.au/charity/charities/da72553b-3aaf-e811-a962-000d3ad24a0d/profile,"St Judes Early Learning Centre, Holder",Forrest,ACT,Registered,Medium,15246407843,,,,,,,,889124.0,920404.0,Early childhood - aged under 6,30 Jun 2022,1.0
611,https://www.acnc.gov.au/charity/charities/977c553b-3aaf-e811-a962-000d3ad24a0d/profile,Unavailable,Unavailable,Unavailable,Registered,Medium,Unavailable,,,,,,,,415043.0,918286.0,Other charities,16 Dec 2021,0.0
612,https://www.acnc.gov.au/charity/charities/b1161d4a-3aaf-e811-a962-000d3ad24a0d/profile,In Good Faith Foundation Ltd,Docklands,VIC,Registered,Medium,53165246926,,,,,,,http://www.igff.org.au/,788854.0,740893.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Females; Financially disadvantaged people; General community in Australia; Males; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Unemployed persons,18 Jan 2022,0.0
613,https://www.acnc.gov.au/charity/charities/0ca2b2a3-39af-e811-a962-000d3ad24a0d/profile,Centenary Institute Medical Research Foundation,Camperdown,NSW,Registered,Medium,85778244012,,,,,,,http://centenary.org.au/,613952.0,3695909.0,Females; Males; People with chronic illness (including terminal illness),27 Jun 2022,0.0
614,https://www.acnc.gov.au/charity/charities/dd22a2f9-39af-e811-a962-000d3ad24a0d/profile,AUSTRALIA AND NEW ZEALAND ASSOCIATION OF PSYCHOTHERAPY LTD,Tighes Hill,NSW,Registered,Medium,29113922713,,,,,,,http://www.anzap.com.au/,324300.0,188202.0,General community in Australia; Other; Overseas communities or charities,21 Jan 2022,0.0
615,https://www.acnc.gov.au/charity/charities/a4f29bf3-39af-e811-a962-000d3ad24a0d/profile,International Bible Study Group Inc.,Unavailable,Unavailable,Registered,Medium,13174483959,,,,,,,,517088.0,202869.0,Adults - aged 25 to under 65; Families; Females; General community in Australia; Males; Overseas communities or charities; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; Youth - 15 to under 25,14 May 2022,1.0
616,https://www.acnc.gov.au/charity/charities/316846e7-39af-e811-a962-000d3ad24a0d/profile,The Trustee for the Brother Mark May Bursary Fund,Pearce,ACT,Registered,Medium,33992563028,,,,,,,,268603.0,118718.0,Children - aged 6 to under 15; Youth - 15 to under 25,30 Jun 2022,0.0
617,https://www.acnc.gov.au/charity/charities/0c71553b-3aaf-e811-a962-000d3ad24a0d/profile,Jubilee Australia Research Centre Ltd,World Square,NSW,Registered,Medium,78669804328,,,,,,,http://www.jubileeaustralia.org/,446900.0,309071.0,Environment; General community in Australia; Overseas communities or charities,2 Jun 2022,0.0
618,https://www.acnc.gov.au/charity/charities/0974553b-3aaf-e811-a962-000d3ad24a0d/profile,The Redeemed Christian Church of God Australia/Pacific Region,Greenvale,VIC,Registered,Medium,65154796808,,,,,,,http://www.rccgaustraliapacific.org/,463049.0,306728.0,Adults - aged 25 to under 65; Females; Males; People from a culturally and linguistically diverse background; Youth - 15 to under 25,17 Jan 2022,1.0
619,https://www.acnc.gov.au/charity/charities/dda8ae22-3aaf-e811-a962-000d3ad24a0d/profile,Trinity Baptist Church Inc as the operator of a PBI,Colonel Light Gardens,SA,Registered,Medium,55232214042,,,,,,,http://www.careandshare.org.au/,503538.0,447348.0,Adults - aged 65 and over,31 Jan 2022,1.0
620,https://www.acnc.gov.au/charity/charities/947fa005-3aaf-e811-a962-000d3ad24a0d/profile,St. Mary St. Bakhomios & St Shenouda Coptic Orthodox Church,Kirrawee,NSW,Registered,Medium,40828692116,,,,,,,http://www.stbakhomios.org.au/,775405.0,358465.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Families; Females; General community in Australia; Males; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People with disabilities; Pre/post release offenders and/or their families; Unemployed persons; Youth - 15 to under 25,21 Jan 2022,1.0
621,https://www.acnc.gov.au/charity/charities/9979553b-3aaf-e811-a962-000d3ad24a0d/profile,THE TRUSTEE FOR THE SMITH CHARITABLE FUND,Unavailable,Unavailable,Registered,Medium,46691251483,,,,,,,,359998.0,124039.0,General community in Australia; Youth - 15 to under 25,28 Jan 2022,0.0
622,https://www.acnc.gov.au/charity/charities/9283a005-3aaf-e811-a962-000d3ad24a0d/profile,CMCA Trust Inc,Malvern East,VIC,Registered,Medium,89910260135,,,,,,,http://cmca.org.au/,650128.0,330.0,"Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; General community in Australia; Migrants, refugees or asylum seekers; People from a culturally and linguistically diverse background; Youth - 15 to under 25",15 Jan 2022,1.0
623,https://www.acnc.gov.au/charity/charities/db76553b-3aaf-e811-a962-000d3ad24a0d/profile,THE TRUSTEE FOR COMPUTERSHARE CHANGE A LIFE FOUNDATION,Abbotsford,VIC,Registered,Medium,27418272450,,,,,,,https://www.computershare.com/corporate/about-us/corporate-responsibility/community/change-a-life,349898.0,162464.0,Children - aged 6 to under 15; Financially disadvantaged people; People in rural/regional/remote communities; Youth - 15 to under 25,9 Dec 2021,0.0
624,https://www.acnc.gov.au/charity/charities/7478553b-3aaf-e811-a962-000d3ad24a0d/profile,THE TRUSTEE FOR PETER & MARIA COPULOS FOUNDATION,Shepparton,VIC,Registered,Medium,27502115242,,,,,,,,258123.0,333201.0,Financially disadvantaged people; General community in Australia; Other charities; People with chronic illness (including terminal illness); Youth - 15 to under 25,12 Jan 2022,0.0
625,https://www.acnc.gov.au/charity/charities/b42e43db-39af-e811-a962-000d3ad24a0d/profile,The Sa Zhu-Lin Buddhist Association,Ottoway,SA,Registered,Medium,97409763363,,,,,,,http://www.zhulin.com.au/,776283.0,228923.0,Adults - aged 25 to under 65; Children - aged 6 to under 15; Families; Females; Males; Youth - 15 to under 25,30 Jan 2022,0.0
626,https://www.acnc.gov.au/charity/charities/45f49bf3-39af-e811-a962-000d3ad24a0d/profile,Kempsey Family Day Care Incorporation,Kempsey,NSW,Registered,Medium,51023594916,,,,,,,http://www.kempseychildcare.com/,999798.0,763670.0,Aboriginal and Torres Strait Islander people; Children - aged 6 to under 15; Early childhood - aged under 6; Families; People in rural/regional/remote communities,21 Jan 2022,0.0
627,https://www.acnc.gov.au/charity/charities/461ba2f9-39af-e811-a962-000d3ad24a0d/profile,Eucharistic Community Ltd,Kew East,VIC,Registered,Medium,43164324216,,,,,,,,278505.0,280000.0,General community in Australia,18 Feb 2022,1.0
628,https://www.acnc.gov.au/charity/charities/164b9cff-39af-e811-a962-000d3ad24a0d/profile,Microlend Australia Limited,Leumeah,NSW,Registered,Medium,25166836415,,,,,,,http://www.microlendaustralia.com.au/,710236.0,461837.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Families; Females; Financially disadvantaged people; Males; Other charities; Overseas communities or charities; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with disabilities; Unemployed persons,29 Nov 2021,0.0
629,https://www.acnc.gov.au/charity/charities/2b83a005-3aaf-e811-a962-000d3ad24a0d/profile,GOURANGA PTY LTD,Darlinghurst,NSW,Registered,Medium,74745352065,,,,,,,,650726.0,717320.0,"All ages; General community in Australia; Migrants, refugees or asylum seekers; People at risk of homelessness/ people experiencing homelessness; People with disabilities; Unemployed persons",8 Jun 2015,1.0
630,https://www.acnc.gov.au/charity/charities/3b88a005-3aaf-e811-a962-000d3ad24a0d/profile,The Chaldean Catholic Church,Campbellfield,VIC,Registered,Medium,54069483919,,,,,,,,945278.0,606934.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Youth - 15 to under 25,28 Jan 2022,1.0
631,https://www.acnc.gov.au/charity/charities/b9479cff-39af-e811-a962-000d3ad24a0d/profile,Renew Initiatives Australia Limited,Albert Park,VIC,Registered,Medium,33151699160,,,,,,,http://www.renewaustralia.org/,425730.0,365269.0,General community in Australia,19 Dec 2021,0.0
632,https://www.acnc.gov.au/charity/charities/7577553b-3aaf-e811-a962-000d3ad24a0d/profile,THE TRUSTEE FOR BLIND WELFARE FOUNDATION,Gilles Plains,SA,Registered,Medium,57191470581,,,,,,,,678274.0,91187.0,Other charities; People with disabilities,18 Nov 2021,0.0
633,https://www.acnc.gov.au/charity/charities/bee70144-3aaf-e811-a962-000d3ad24a0d/profile,Playgroup Tasmania Inc,Invermay,TAS,Registered,Medium,42783652787,,,,,,,http://www.playgrouptas.org.au/,713400.0,558666.0,Early childhood - aged under 6; Families,31 Jan 2022,0.0
634,https://www.acnc.gov.au/charity/charities/3cec0144-3aaf-e811-a962-000d3ad24a0d/profile,Lutheran Church of Australia Queensland District t/a Pacific Lutheran Outside School Hours Care,Meridan Plains,QLD,Registered,Medium,82210748423,,,,,,,https://www.pacificlutheran.qld.edu.au/college-community/outside-school-hours-care,332601.0,308921.0,Children - aged 6 to under 15; Early childhood - aged under 6,3 May 2022,1.0
635,https://www.acnc.gov.au/charity/charities/180f1d4a-3aaf-e811-a962-000d3ad24a0d/profile,The Trustee for ANTIOCHIAN ORTHODOX CHURCH PROPERTY TRUST,Illawong,NSW,Registered,Medium,62745459601,,,,,,,,2901178.0,151844.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Youth - 15 to under 25,1 Apr 2022,1.0
636,https://www.acnc.gov.au/charity/charities/f6e70144-3aaf-e811-a962-000d3ad24a0d/profile,THE TRUSTEE FOR RAIZE THE ROOF ANCILLARY FUND TRUST,O'Malley,ACT,Registered,Medium,61527808044,,,,,,,http://www.raizetheroof.org.au/,866319.0,948611.0,Children - aged 6 to under 15; Early childhood - aged under 6; People with chronic illness (including terminal illness); Youth - 15 to under 25,12 Sep 2021,0.0
