,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion
0,https://www.acnc.gov.au/charity/charities/818ff5eb-38af-e811-a963-000d3ad244fd/profile,The Spiritual Assembly of the Baha'is of Yarra Ranges,Chirnside Park,VIC,Registered,Small,96170304478,,,,,,
1,https://www.acnc.gov.au/charity/charities/12c51ef2-38af-e811-a963-000d3ad244fd/profile,Dulwich Hill Public School P&C Association,Dulwich Hill,NSW,Registered,Small,66626567192,,,,,,
2,https://www.acnc.gov.au/charity/charities/18c41ef2-38af-e811-a963-000d3ad244fd/profile,Austinmer Anglican Scripture In Government Schools Foundation,Austinmer,NSW,Registered,Small,66405694923,,,,,,
3,https://www.acnc.gov.au/charity/charities/968cf5eb-38af-e811-a963-000d3ad244fd/profile,Rinse Out Inc.,Unavailable,Unavailable,Registered,Small,92303884093,,,,,,
4,https://www.acnc.gov.au/charity/charities/29051bf8-38af-e811-a963-000d3ad244fd/profile,United Pentecostal Church Of SA Inc,Morphett Vale,SA,Registered,Small,84345413535,,,,,,
5,https://www.acnc.gov.au/charity/charities/a9d01ef2-38af-e811-a963-000d3ad244fd/profile,Uca - Cohuna,Cohuna,VIC,Registered,Small,23424572806,,,,,,
6,https://www.acnc.gov.au/charity/charities/3cdc070a-39af-e811-a963-000d3ad244fd/profile,The Trustee For The Kyabram Gift Welfare Fund,Kyabram,VIC,Registered,Small,51908602910,,,,,,
7,https://www.acnc.gov.au/charity/charities/e0d1070a-39af-e811-a963-000d3ad244fd/profile,Sabbath Rest Advent Church (Aust) Inc,Unavailable,Unavailable,Registered,Small,29566198115,,,,,,
8,https://www.acnc.gov.au/charity/charities/9cd01ef2-38af-e811-a963-000d3ad244fd/profile,Fullness Of Life Centre Inc,Nedlands,WA,Registered,Small,23673482232,,,,,,
9,https://www.acnc.gov.au/charity/charities/12d6070a-39af-e811-a963-000d3ad244fd/profile,Borneo Exhibition Group Inc,Glen Forrest,WA,Registered,Small,46899563002,,,,,,
10,https://www.acnc.gov.au/charity/charities/747a13fe-38af-e811-a963-000d3ad244fd/profile,Australysis Productions Inc,Cronulla,NSW,Registered,Small,71380078690,,,,,,
11,https://www.acnc.gov.au/charity/charities/78d3070a-39af-e811-a963-000d3ad244fd/profile,All Saints Anglican Church Of Australia Condobolin,Condobolin,NSW,Registered,Small,29886847502,,,,,,
12,https://www.acnc.gov.au/charity/charities/7a84fe0f-39af-e811-a963-000d3ad244fd/profile,Uca - Cavendish Uniting Church Parish,Cavendish,VIC,Registered,Small,51919061937,,,,,,
13,https://www.acnc.gov.au/charity/charities/f4d8070a-39af-e811-a963-000d3ad244fd/profile,Bribie Island Church Of Christ,Bribie Island,QLD,Registered,Small,23790992744,,,,,,
14,https://www.acnc.gov.au/charity/charities/b31c1004-39af-e811-a963-000d3ad244fd/profile,The Baptist Union Of Queensland - Cooktown,Cooktown,QLD,Registered,Small,11127864935,,,,,,
15,https://www.acnc.gov.au/charity/charities/0f7c13fe-38af-e811-a963-000d3ad244fd/profile,Glenreagh Mountain Railway Incorporated,Glenreagh,NSW,Registered,Small,88246630101,,,,,,
16,https://www.acnc.gov.au/charity/charities/5487fe0f-39af-e811-a963-000d3ad244fd/profile,The Trustee For St David's Cathedral Foundation,Hobart,TAS,Registered,Small,92619957833,,,,,,
17,https://www.acnc.gov.au/charity/charities/9a211004-39af-e811-a963-000d3ad244fd/profile,The Roman Catholic Archbishop Of Perth Archdiocesan Liturgy Office,Nollamara,WA,Registered,Small,88503423757,,,,,,
18,https://www.acnc.gov.au/charity/charities/4a051bf8-38af-e811-a963-000d3ad244fd/profile,Bombala RSL sub-Branch (RSL NSW),Bombala,NSW,Registered,Small,84372929159,,,,,,
19,https://www.acnc.gov.au/charity/charities/43dd070a-39af-e811-a963-000d3ad244fd/profile,The Roman Catholic Archbishop Of Perth Applecross Parish,Ardross,WA,Registered,Small,51912320129,,,,,,
20,https://www.acnc.gov.au/charity/charities/b785fe0f-39af-e811-a963-000d3ad244fd/profile,Potters House Christian Fellowship Oakleigh,Clayton,VIC,Registered,Small,23990071623,,,,,,
21,https://www.acnc.gov.au/charity/charities/6cd5070a-39af-e811-a963-000d3ad244fd/profile,Seventh-Day Adventist Church (Pacific) Limited,Wahroonga,NSW,Registered,Small,57113941021,,,,,,
22,https://www.acnc.gov.au/charity/charities/41241004-39af-e811-a963-000d3ad244fd/profile,The Trustee For All Souls Church Endowment Trust A/C,Walkerville,SA,Registered,Small,99858027346,,,,,,
23,https://www.acnc.gov.au/charity/charities/12d5070a-39af-e811-a963-000d3ad244fd/profile,Millicent Catholic Parish,Adelaide,SA,Registered,Small,57112768879,,,,,,
24,https://www.acnc.gov.au/charity/charities/f3d8070a-39af-e811-a963-000d3ad244fd/profile,The Spiritual Assembly of the Baha'is of Darebin,Preston,VIC,Registered,Small,23890645430,,,,,,
25,https://www.acnc.gov.au/charity/charities/76345217-39af-e811-a963-000d3ad244fd/profile,The Trustee For The Thomas Memorial Fund,Melbourne,VIC,Registered,Small,11311421406,,,,,,
26,https://www.acnc.gov.au/charity/charities/8e355217-39af-e811-a963-000d3ad244fd/profile,Riding For The Disabled Association (NSW) The Moss Vale Centre,Moss Vale,NSW,Registered,Small,11240170997,,,,,,
27,https://www.acnc.gov.au/charity/charities/1e8afe0f-39af-e811-a963-000d3ad244fd/profile,Woronora River Primary P&C Assoc,Woronora,NSW,Registered,Small,35818227331,,,,,,
28,https://www.acnc.gov.au/charity/charities/7488fe0f-39af-e811-a963-000d3ad244fd/profile,Team Wild Yachting Inc,White Rock,QLD,Registered,Small,52018442635,,,,,,
29,https://www.acnc.gov.au/charity/charities/bcd6070a-39af-e811-a963-000d3ad244fd/profile,Manna Inc.,Victoria Park,WA,Registered,Small,46734880362,,,,,,
30,https://www.acnc.gov.au/charity/charities/6ad5070a-39af-e811-a963-000d3ad244fd/profile,Uca - Scots Uniting Church Lake Bolac,Unavailable,VIC,Registered,Small,46728729783,,,,,,
31,https://www.acnc.gov.au/charity/charities/f7365217-39af-e811-a963-000d3ad244fd/profile,Porridge Bowl Housing Co-Operative Limited,Thebarton,SA,Registered,Small,39829230470,,,,,,
