,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Expenses,Cause/s,Last_report_date,ref_religion,website,revenue,expenses,causes,lastreport,religious_ref
600,https://www.acnc.gov.au/charity/charities/1cfd3082-3aaf-e811-a961-000d3ad24182/profile,Siasi Konisitutone Tau'ataina 'O Tonga - Australia Incorporated,Croydon,NSW,Registered,Small,24205377010,,,,,,,,103134.0,17799.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Families; Females; Financially disadvantaged people; General community in Australia; Males; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Pre/post release offenders and/or their families; Unemployed persons; Veterans and/or their families; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25,23 Jun 2022,1.0
601,https://www.acnc.gov.au/charity/charities/41023182-3aaf-e811-a961-000d3ad24182/profile,Eagle place church,Werribee,VIC,Registered,Small,45295906149,,,,,,,,92765.0,86199.0,Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Males; Unemployed persons; Youth - 15 to under 25,7 Mar 2022,1.0
602,https://www.acnc.gov.au/charity/charities/280ca269-3aaf-e811-a961-000d3ad24182/profile,Serve Fiji Foundation Incorporated,Bella Vista,NSW,Registered,Small,91866746366,,,,,,,http://www.servefiji.org/,89443.0,51341.0,Children - aged 6 to under 15; Families; Financially disadvantaged people; Overseas communities or charities; People in rural/regional/remote communities; Youth - 15 to under 25,21 Nov 2021,0.0
603,https://www.acnc.gov.au/charity/charities/e6072a88-3aaf-e811-a961-000d3ad24182/profile,Estate M G Malloy - Bill Malloy Trust,Melbourne,VIC,Registered,Small,72960090346,,,,,,,,37183.0,39399.0,Other charities,30 Jan 2022,0.0
604,https://www.acnc.gov.au/charity/charities/0c2f9a6f-3aaf-e811-a961-000d3ad24182/profile,East Timor Roofing Holding Company Ltd,Collins Street East,VIC,Registered,Small,63139543678,,,,,,,,100.0,121115.0,Families; Overseas communities or charities,6 Jan 2022,0.0
605,https://www.acnc.gov.au/charity/charities/19fd3082-3aaf-e811-a961-000d3ad24182/profile,Cecil & Kathleen Toy Memorial Trust,Wagga Wagga,NSW,Registered,Small,24839928661,,,,,,,,64427.0,54760.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Children - aged 6 to under 15; Early childhood - aged under 6; Families; Females; Financially disadvantaged people; Males; Other charities; People at risk of homelessness/ people experiencing homelessness; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; People with chronic illness (including terminal illness); People with disabilities; Veterans and/or their families; Victims of crime (including family violence); Victims of disaster; Youth - 15 to under 25,13 Dec 2021,0.0
606,https://www.acnc.gov.au/charity/charities/120fa269-3aaf-e811-a961-000d3ad24182/profile,JUSTcares Foundation,Sydney,NSW,Registered,Small,56117089987,,,,,,,,15948.0,15000.0,Aboriginal and Torres Strait Islander people; People at risk of homelessness/ people experiencing homelessness,10 Dec 2021,0.0
607,https://www.acnc.gov.au/charity/charities/ae092a88-3aaf-e811-a961-000d3ad24182/profile,Thomas' Transition House for Children Inc,Highfields,QLD,Registered,Small,17416055375,,,,,,,http://thomas-house.org/,26247.0,12315.0,Children - aged 6 to under 15; Early childhood - aged under 6; Families; Financially disadvantaged people; People at risk of homelessness/ people experiencing homelessness,14 Jan 2022,0.0
608,https://www.acnc.gov.au/charity/charities/36121b7c-3aaf-e811-a961-000d3ad24182/profile,The Cancer Genetics Fund Ltd,Ultimo,NSW,Registered,Small,70612661837,,,,,,,http://www.cancergenetics.com.au/,0.0,0.0,Aboriginal and Torres Strait Islander people; Adults - aged 25 to under 65; Adults - aged 65 and over; Families; Financially disadvantaged people; People from a culturally and linguistically diverse background; People in rural/regional/remote communities; Youth - 15 to under 25,27 Jan 2022,0.0
609,https://www.acnc.gov.au/charity/charities/40002a88-3aaf-e811-a961-000d3ad24182/profile,The Pilbara Charitable Trust,Unavailable,Unavailable,Registered,Small,69336042216,,,,,,,,1.0,0.0,,11 Nov 2021,0.0
