,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Cause/s
0,https://www.acnc.gov.au/charity/charities/30f99aad-3aaf-e811-a962-000d3ad24a0d/profile,Unavailable,Unavailable,Unavailable,Registered,Small,Unavailable,,,
1,https://www.acnc.gov.au/charity/charities/716eb92a-39af-e811-a963-000d3ad24077/profile,Christian Cultural Arts Trust,Unavailable,Unavailable,Registered,Small,11751213676,,,
2,https://www.acnc.gov.au/charity/charities/be236a1c-39af-e811-a963-000d3ad24077/profile,Quakers Hill High School P&C,Quakers Hill,NSW,Registered,Small,80652958059,,,
3,https://www.acnc.gov.au/charity/charities/ce657116-39af-e811-a963-000d3ad24077/profile,Returned Services League Of Australia (Queensland Branch) Gracemere & District Sub-Branch Incorporated,Gracemere,QLD,Registered,Small,41425510052,,,
4,https://www.acnc.gov.au/charity/charities/bc236a1c-39af-e811-a963-000d3ad24077/profile,Kandos Public School P & C Association,Kandos,NSW,Registered,Small,80579472052,,,
5,https://www.acnc.gov.au/charity/charities/1a6d7116-39af-e811-a963-000d3ad24077/profile,Association Of School Bursars And Administrators (Act) Incorporated,Canberra,ACT,Registered,Small,96462762026,,,
6,https://www.acnc.gov.au/charity/charities/874cc224-39af-e811-a963-000d3ad24077/profile,The Trustee For Crossroads Church,Unavailable,Unavailable,Registered,Small,30120619905,,,
7,https://www.acnc.gov.au/charity/charities/52256a1c-39af-e811-a963-000d3ad24077/profile,Friends Of The Republic Of Vietnam Invalid Veterans's Association Of Wa Incorporated,Dianella,WA,Registered,Small,80620512348,,,
8,https://www.acnc.gov.au/charity/charities/1951c224-39af-e811-a963-000d3ad24077/profile,Uca - Wycheproof,Unavailable,Unavailable,Registered,Small,24070082164,,,
9,https://www.acnc.gov.au/charity/charities/aad0e909-39af-e811-a963-000d3ad24077/profile,Weetangera Primary School Parents' and Citizens' Association Incorporated,Weetangera,ACT,Registered,Small,23731241387,,,
10,https://www.acnc.gov.au/charity/charities/4758c224-39af-e811-a963-000d3ad24077/profile,The Trustee For Arthur L Shaw Bequest,Melbourne,VIC,Registered,Small,57301175215,,,
11,https://www.acnc.gov.au/charity/charities/e61eb230-39af-e811-a963-000d3ad24077/profile,Lifesource Church Echuca Inc,Echuca,VIC,Registered,Small,76409071269,,,
12,https://www.acnc.gov.au/charity/charities/3e1eb230-39af-e811-a963-000d3ad24077/profile,Indian Reform Fellowship - Australia,Annerley,QLD,Registered,Small,76395493850,,,
13,https://www.acnc.gov.au/charity/charities/9f54c224-39af-e811-a963-000d3ad24077/profile,Crystal Brook North Western Agricultural Society Incorporated,Crystal Brook,SA,Registered,Small,88779385428,,,
14,https://www.acnc.gov.au/charity/charities/e557c224-39af-e811-a963-000d3ad24077/profile,LAUNCESTON CHURCH GRAMMAR SCHOOL ENDOWMENT FUND,Mowbray,TAS,Registered,Small,57295877054,,,
15,https://www.acnc.gov.au/charity/charities/7652c224-39af-e811-a963-000d3ad24077/profile,The Trustee For Lions International District 201 V2 Charitable Fund,Camperdown,VIC,Registered,Small,24227166701,,,
16,https://www.acnc.gov.au/charity/charities/1657c224-39af-e811-a963-000d3ad24077/profile,Australian Myanmar Evangelical Fellowship Inc,Tarneit,VIC,Registered,Small,47068979323,,,
17,https://www.acnc.gov.au/charity/charities/ac74b92a-39af-e811-a963-000d3ad24077/profile,Seq Catchments Members' Association,Brisbane,QLD,Registered,Small,67095850849,,,
18,https://www.acnc.gov.au/charity/charities/3e6fb92a-39af-e811-a963-000d3ad24077/profile,Goulburn South Public School P&C Association,Goulburn,NSW,Registered,Small,52079910765,,,
19,https://www.acnc.gov.au/charity/charities/476db92a-39af-e811-a963-000d3ad24077/profile,Spark Art Initiatives Pty Ltd,Haymarket,NSW,Registered,Small,36131093108,,,
20,https://www.acnc.gov.au/charity/charities/041ab230-39af-e811-a963-000d3ad24077/profile,The Trustee For Trevor Wilson Ross Memorial Fund,Unavailable,Unavailable,Registered,Small,62347552344,,,
21,https://www.acnc.gov.au/charity/charities/e64cc224-39af-e811-a963-000d3ad24077/profile,St Columb's Ministries Inc,Hawthorn,VIC,Registered,Small,29957147655,,,
22,https://www.acnc.gov.au/charity/charities/1cee1843-39af-e811-a963-000d3ad24077/profile,Reho' Family Ministries,Karrinyup,WA,Registered,Small,47385112295,,,
23,https://www.acnc.gov.au/charity/charities/5ac10355-39af-e811-a963-000d3ad24077/profile,Sunraysia Contempory Alevi Cultural Ce,Unavailable,Unavailable,Registered,Small,24765527579,,,
24,https://www.acnc.gov.au/charity/charities/29722937-39af-e811-a963-000d3ad24077/profile,Altona Lifesaving Club,Altona,VIC,Registered,Small,71872745914,,,
25,https://www.acnc.gov.au/charity/charities/e3151149-39af-e811-a963-000d3ad24077/profile,City Beach Church Building Association Incorporated,Ballajura,WA,Registered,Small,52432809966,,,
26,https://www.acnc.gov.au/charity/charities/64cb0355-39af-e811-a963-000d3ad24077/profile,South Brisbane Christadelphian Ecclesia,Wishart,QLD,Registered,Small,72153223604,,,
27,https://www.acnc.gov.au/charity/charities/fece0355-39af-e811-a963-000d3ad24077/profile,Caring For Kids Bankstown Group,Barrack Heights,NSW,Registered,Small,93194562351,,,
28,https://www.acnc.gov.au/charity/charities/39c40355-39af-e811-a963-000d3ad24077/profile,The Trustee For The Dammery Educational Trust,Melbourne,VIC,Registered,Small,24636882181,,,
